,period,aqi,natural_gas_value,coal_value
189,2024-10-15,1.7429111104205421,150941.38315949665,1332.1929031224317
190,2024-10-16,1.742910139938969,150940.93418246214,1332.2155172941689
191,2024-10-17,1.742909208259132,150940.50315624912,1332.2372274241811
192,2024-10-18,1.742908313829582,150940.0893631249,1332.2580696496696
193,2024-10-19,1.7429074551609103,150939.6921140566,1332.2780786636238
194,2024-10-20,1.742906630823267,150939.3107475634,1332.2972877725124
195,2024-10-21,1.7429058394439785,150938.9446286148,1332.3157289516735
196,2024-10-22,1.7429050797052597,150938.5931475723,1332.3334328984945
197,2024-10-23,1.7429043503420205,150938.25571917443,1332.3504290834653
198,2024-10-24,1.7429036501397577,150937.93178156155,1332.366745799199
199,2024-10-25,1.7429029779325318,150937.6207953401,1332.3824102074925
200,2024-10-26,1.7429023326010236,150937.32224268414,1332.3974483845077
201,2024-10-27,1.7429017130706714,150937.03562647285,1332.4118853641503
202,2024-10-28,1.7429011183098808,150936.7604694625,1332.4257451797157
203,2024-10-29,1.7429005473283044,150936.49631349163,1332.4390509038735
204,2024-10-30,1.7428999991751952,150936.24271871787,1332.451824687053
205,2024-11-01,1.7428994729378213,150935.99926288554,1332.4640877942961
206,2024-11-02,1.742898967739946,150935.7655406223,1332.4758606406408
